url,title,author,price
33,/w/hunting-adeline-h-d-carlton/1140925364?ean=9798765520741,Hunting Adeline,H. D. Carlton,$19.86
34,/w/you-are-the-team-michael-g-rogers/1126588938?ean=9781546770855,You Are The Team: 6 Simple Ways Teammates Can Go From Good To Great,Michael G. Rogers,$15.95
35,/w/crown-of-midnight-maas-sarah-j/1141902142?ean=9781639730971,Crown of Midnight (Throne of Glass Series #2),Sarah J. Maas,$19.00
36,/w/central-park-west-james-comey/1142331432?ean=9781613164037,Central Park West: A Crime Novel,James Comey,$25.49
37,/w/killers-of-the-flower-moon-david-grann/1123721799?ean=9780307742483,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,$14.49
38,/w/haunting-adeline-h-d-carlton/1138639115?ean=9798765520994,Haunting Adeline,H. D. Carlton,$24.32
39,/w/the-legend-of-zeldat-piggyback/1143457382?ean=9781913330002,The Legend of ZeldaT: Tears of the Kingdom - The Complete Official Guide: Collector's Edition,Piggyback,$44.99
40,/w/the-seven-husbands-of-evelyn-hugo-taylor-jenkins-reid/1124863869?ean=9781501161933,The Seven Husbands of Evelyn Hugo: A Novel,Taylor Jenkins Reid,$12.99
41,/w/heir-of-fire-maas-sarah-j/1141902148?ean=9781639730995,Heir of Fire (Throne of Glass Series #3),Sarah J. Maas,$19.00
42,/w/if-he-had-been-with-me-laura-nowlin/1112689781?ean=9781728205489,If He Had Been with Me,Laura Nowlin,$10.99
43,/w/activate-your-heroic-potential-brian-johnson/1143576100?ean=9798212414074,"Activate Your Heroic Potential: Ancient Wisdom, Modern Science, & Practical Tools to Win the Ultimate Game & Fulfill Your Destiny",Brian Johnson,$24.99
44,/w/the-serpent-and-the-wings-of-night-carissa-broadbent/1142009611?ean=9781957779003,The Serpent and the Wings of Night,Carissa Broadbent,$24.99
45,/w/the-23rd-midnight-james-patterson/1142157118?ean=9780316402781,The 23rd Midnight (Women's Murder Club Series #23),James Patterson,$21.00
46,/w/empire-of-storms-maas-sarah-j/1141902157?ean=9781639731039,Empire of Storms (Throne of Glass Series #5),Sarah J. Maas,$19.00
47,/w/unfortunately-yours-tessa-bailey/1142168957?ean=9780063239036,Unfortunately Yours: A Novel,Tessa Bailey,$17.09
48,/w/the-hill-we-climb-amanda-gorman/1138654138?ean=9780593465271,The Hill We Climb: An Inaugural Poem for the Country,Amanda Gorman,$12.99
49,/w/better-than-the-movies-lynn-painter/1137941902?ean=9781534467637,Better Than the Movies,Lynn Painter,$12.99
50,/w/outlive-peter-attia-md/1141470538?ean=9780593236598,Outlive: The Science and Art of Longevity,Peter Attia MD,$28.80
51,/w/a-court-of-silver-flames-sarah-j-maas/1137236764?ean=9781635577990,A Court of Silver Flames (A Court of Thorns and Roses Series #4),Sarah J. Maas,$19.00
52,/w/rand-mcnally-road-atlas-midsize-easy-finder-rand-mcnally/1141311568?ean=9780528026362,Rand McNally Road Atlas Midsize Easy Finder,Rand McNally,$13.49
53,/w/verity-colleen-hoover/1130171830?ean=9781538724736,Verity,Colleen Hoover,$13.99
54,/w/walking-with-sam-andrew-mccarthy/1142225560?ean=9781538757093,"Walking with Sam: A Father, a Son, and Five Hundred Miles Across Spain (Signed Book)",Andrew McCarthy,$28.00
55,/w/a-court-of-frost-and-starlight-sarah-j-maas/1127477102?ean=9781635575620,A Court of Frost and Starlight (A Court of Thorns and Roses Series),Sarah J. Maas,$14.99
56,/w/it-ends-with-us-colleen-hoover/1122858647?ean=9781501110368,It Ends with Us,Colleen Hoover,$12.99
57,/w/king-of-pride-ana-huang/1143345255?ean=9781728299822,King of Pride (B&N Exclusive Edition),Ana Huang,$16.19
58,/w/credence-penelope-douglas/1136167888?ean=9781660089055,Credence,Penelope Douglas,$16.19
59,/w/last-stop-on-market-street-matt-de-la-pe-a/1119711662?ean=9780399257742,Last Stop on Market Street (Newbery Medal Winner),Matt de la Peña,$15.99
60,/w/150-golf-courses-you-need-to-visit-before-you-die-stefanie-waldek/1140172610?ean=9789401481953,150 golf courses you need to visit before you die: A selection of the 150 most marvelous golf courses in the world,Stefanie Waldek,$39.95
61,/w/things-we-never-got-over-lucy-score/1140909459;jsessionid=0DB094419740E16FF7A1F9BF85B0279F.prodny_store01-atgap05?ean=9781945631832,Things We Never Got Over,Lucy Score,$18.99
62,/w/you-better-be-lightning-andrea-gibson/1139078131;jsessionid=0DB094419740E16FF7A1F9BF85B0279F.prodny_store01-atgap05?ean=9781943735990,You Better Be Lightning,Andrea Gibson,$18.00
63,/w/spider-man-ramin-zahed/1143184199;jsessionid=0DB094419740E16FF7A1F9BF85B0279F.prodny_store01-atgap05?ean=9781419763991,Spider-Man: Across the Spider-Verse: The Art of the Movie,Ramin Zahed,$34.80
64,/w/remarkably-bright-creatures-shelby-van-pelt/1139955287;jsessionid=0DB094419740E16FF7A1F9BF85B0279F.prodny_store01-atgap05?ean=9780063204157,Remarkably Bright Creatures (Read with Jenna Pick),Shelby Van Pelt,$21.99
65,/w/the-housemaids-secret-freida-mcfadden/1142829592;jsessionid=0DB094419740E16FF7A1F9BF85B0279F.prodny_store01-atgap05?ean=9781837901326,The Housemaid's Secret,Freida McFadden,$10.99
66,/w/all-are-welcome-alexandra-penfold/1127620730;jsessionid=0DB094419740E16FF7A1F9BF85B0279F.prodny_store01-atgap05?ean=9780525579649,All Are Welcome,Alexandra Penfold,$15.99
67,/w/planting-a-rainbow-lois-ehlert/1100258845;jsessionid=0DB094419740E16FF7A1F9BF85B0279F.prodny_store01-atgap05?ean=9780152626105,Planting a Rainbow,Lois Ehlert,$8.99
68,/w/a-fire-in-the-flesh-jennifer-l-armentrout/1143051402;jsessionid=0DB094419740E16FF7A1F9BF85B0279F.prodny_store01-atgap05?ean=9781957568614,A Fire in the Flesh (B&N Exclusive) (Flesh and Fire Series #3),Jennifer L. Armentrout,$27.19
69,/w/demon-copperhead-barbara-kingsolver/1140860121;jsessionid=0DB094419740E16FF7A1F9BF85B0279F.prodny_store01-atgap05?ean=9780063251922,Demon Copperhead (Pulitzer Prize Winner) (Oprah's Book Club Pick),Barbara Kingsolver,$24.99
70,/w/a-curse-for-true-love-stephanie-garber/1142831119;jsessionid=0DB094419740E16FF7A1F9BF85B0279F.prodny_store01-atgap05?ean=9781250908452,A Curse for True Love (B&N Exclusive Edition),Stephanie Garber,$17.84
71,/w/hooked-emily-mcintire/1140182384;jsessionid=0DB094419740E16FF7A1F9BF85B0279F.prodny_store01-atgap05?ean=9781737508373,Hooked,Emily McIntire,$17.99
72,/w/the-bad-seed-jory-john/1124860411;jsessionid=0DB094419740E16FF7A1F9BF85B0279F.prodny_store01-atgap05?ean=9780062467768,The Bad Seed,Jory John,$15.99
73,/w/the-assassins-blade-maas-sarah-j/1141902161;jsessionid=0DB094419740E16FF7A1F9BF85B0279F.prodny_store01-atgap05?ean=9781639731091,The Assassin's Blade: The Throne of Glass Novellas,Sarah J. Maas,$19.00
74,/w/the-good-egg-jory-john/1143092453;jsessionid=0DB094419740E16FF7A1F9BF85B0279F.prodny_store01-atgap05?ean=9780062866004,The Good Egg: An Easter And Springtime Book For Kids,Jory John,$15.99
75,/w/verdi-janell-cannon/1100832789;jsessionid=0DB094419740E16FF7A1F9BF85B0279F.prodny_store01-atgap05?ean=9780152010287,Verdi,Janell Cannon,$16.99
76,/w/go-get-em-tiger-sabrina-moyle/1136018324;jsessionid=0DB094419740E16FF7A1F9BF85B0279F.prodny_store01-atgap05?ean=9781419764615,"Go Get 'Em, Tiger! (A Hello!Lucky Book) (Barnes & Noble Edition)",Hello!Lucky,$5.00
77,/w/atomic-habits-james-clear/1129201155;jsessionid=0DB094419740E16FF7A1F9BF85B0279F.prodny_store01-atgap05?ean=9780735211292,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,$22.99
78,/w/kingdom-of-ash-maas-sarah-j/1141902159;jsessionid=0DB094419740E16FF7A1F9BF85B0279F.prodny_store01-atgap05?ean=9781639731077,Kingdom of Ash (Throne of Glass Series #7),Sarah J. Maas,$21.00
79,/w/tower-of-dawn-maas-sarah-j/1141902158;jsessionid=0DB094419740E16FF7A1F9BF85B0279F.prodny_store01-atgap05?ean=9781639731053,Tower of Dawn (Throne of Glass Series #6),Sarah J. Maas,$19.00
80,/w/throne-of-glass-maas-sarah-j/1141902141;jsessionid=0DB094419740E16FF7A1F9BF85B0279F.prodny_store01-atgap05?ean=9781639730957,Throne of Glass (Throne of Glass Series #1),Sarah J. Maas,$19.00
81,/w/a-game-of-gods-scarlett-st-clair/1142993310;jsessionid=4A96952A4FC15441971EB163B8F0A817.prodny_store02-atgap02?ean=9781728294841,A Game of Gods (B&N Exclusive Edition) (Hades Saga #3),Scarlett St. Clair,$15.29
82,/w/king-jonathan-eig/1142038762;jsessionid=4A96952A4FC15441971EB163B8F0A817.prodny_store02-atgap02?ean=9780374279295,King: A Life,Jonathan Eig,$31.50
83,/w/a-touch-of-chaos-scarlett-st-clair/1143018420;jsessionid=4A96952A4FC15441971EB163B8F0A817.prodny_store02-atgap02?ean=9781728294858,A Touch of Chaos (B&N Exclusive Edition) (Hades X Persephone Series #4),Scarlett St. Clair,$16.33
84,/w/the-sun-and-the-star-rick-riordan/1142365456;jsessionid=4A96952A4FC15441971EB163B8F0A817.prodny_store02-atgap02?ean=9781368098878,The Sun and the Star: A Nico di Angelo Adventure (B&N Exclusive Edition),Rick Riordan,$16.99
